[I 2026-05-21 22:11:19,656] A new study created in memory with name: no-name-1f849250-cfeb-4c8f-bb42-de7fac3c0aed
[I 2026-05-21 22:14:39,974] Trial 63 finished with value: 73.35427031127242 and parameters: {'bias_alpha': 0.9997782013124793, 'bias_combine_ratio': 0.43744364227871396, 'max_weight': 0.7586190240831299, 'mape_window': 35, 'bias_window': 11, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:42,962] Trial 64 finished with value: 73.35374416079063 and parameters: {'bias_alpha': 0.9879714484674443, 'bias_combine_ratio': 0.4223253630730501, 'max_weight': 0.7639680370929468, 'mape_window': 34, 'bias_window': 11, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:46,026] Trial 65 finished with value: 73.35314414138574 and parameters: {'bias_alpha': 0.9745553766438873, 'bias_combine_ratio': 0.4396329307003183, 'max_weight': 0.7560256012897713, 'mape_window': 35, 'bias_window': 10, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:49,122] Trial 66 finished with value: 73.3540130372681 and parameters: {'bias_alpha': 0.9939993039657482, 'bias_combine_ratio': 0.4499083199628243, 'max_weight': 0.7361047943473602, 'mape_window': 37, 'bias_window': 11, 'short_vol_window': 9}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:52,291] Trial 67 finished with value: 73.3533207575007 and parameters: {'bias_alpha': 0.9784990823503386, 'bias_combine_ratio': 0.23517254194453657, 'max_weight': 0.7732168641982695, 'mape_window': 34, 'bias_window': 12, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:55,376] Trial 68 finished with value: 73.35365745672604 and parameters: {'bias_alpha': 0.9860289429060982, 'bias_combine_ratio': 0.42927433099640905, 'max_weight': 0.7628490442989158, 'mape_window': 32, 'bias_window': 11, 'short_vol_window': 9}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:14:58,467] Trial 69 finished with value: 73.35393957353716 and parameters: {'bias_alpha': 0.9923518214176565, 'bias_combine_ratio': 0.44015756887284435, 'max_weight': 0.7926665740884709, 'mape_window': 35, 'bias_window': 12, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:01,623] Trial 70 finished with value: 73.35282744691696 and parameters: {'bias_alpha': 0.9991528068965618, 'bias_combine_ratio': 0.42234483364486436, 'max_weight': 0.7240924371545607, 'mape_window': 39, 'bias_window': 10, 'short_vol_window': 10}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:04,623] Trial 71 finished with value: 73.35425833779979 and parameters: {'bias_alpha': 0.9995104829988466, 'bias_combine_ratio': 0.43822744137311276, 'max_weight': 0.7513287138575395, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:07,824] Trial 72 finished with value: 73.35405267792352 and parameters: {'bias_alpha': 0.9948917928400357, 'bias_combine_ratio': 0.4301249655850228, 'max_weight': 0.7381456724657084, 'mape_window': 38, 'bias_window': 12, 'short_vol_window': 13}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:11,001] Trial 73 finished with value: 73.35383437694276 and parameters: {'bias_alpha': 0.989993761132463, 'bias_combine_ratio': 0.4497856009912694, 'max_weight': 0.7496044069125576, 'mape_window': 35, 'bias_window': 11, 'short_vol_window': 11}. Best is trial 46 with value: 73.3542798374461.
[I 2026-05-21 22:15:14,014] Trial 74 finished with value: 73.35426485973399 and parameters: {'bias_alpha': 0.9996570761954884, 'bias_combine_ratio': 0.4424844585334031, 'max_weight': 0.7685738427487723, 'mape_window': 36, 'bias_window': 12, 'short_vol_window': 12}. Best is trial 46 with value: 73.3542798374461.
